epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,707.596,1.77834,2.29066,2.36692,1.51498,0,0.14837,0.29075,0.09059,0.0319,0.07928,0.14146,0.01989,0.00427,2.49997,2.60977,5.78622,2.54667,0,0.000665995,0.000665995,0.000665995
2,1611.14,1.81862,2.03097,2.17598,1.54373,0,0.26341,0.29907,0.17741,0.07212,0.20561,0.20852,0.09024,0.02361,2.39876,3.01908,3.92306,2.31924,0,0.00128868,0.00128868,0.00128868
3,2242.8,1.81119,1.99851,2.1055,1.55144,0,0.12936,0.27454,0.08014,0.02842,0.09602,0.18796,0.03958,0.00971,2.47565,2.12832,9.20981,2.54988,0,0.00186737,0.00186737,0.00186737
4,2802.83,1.84249,1.94159,1.99691,1.58281,0,0.12154,0.34116,0.10817,0.03987,0.06024,0.1953,0.02784,0.00542,2.47135,1.96881,5.41857,2.40338,0,0.001802,0.001802,0.001802
5,3487.89,1.67341,1.86155,1.83928,1.5051,0,0.19353,0.24914,0.14869,0.06104,0.14299,0.16104,0.07726,0.02259,2.39717,2.4215,6.00716,2.19794,0,0.001736,0.001736,0.001736
6,4034.39,1.59565,1.82014,1.77398,1.42919,0,0.22128,0.25012,0.16134,0.07207,0.12159,0.17866,0.06809,0.02013,2.21022,2.25035,5.52888,2.03996,0,0.00167,0.00167,0.00167
7,4564.31,1.56683,1.80288,1.71379,1.40397,0,0.38287,0.34704,0.29673,0.15615,0.26198,0.23348,0.14804,0.04409,1.96885,2.01733,2.84788,1.77711,0,0.001604,0.001604,0.001604
8,5105.05,1.55758,1.8061,1.69081,1.37709,0,0.25935,0.39892,0.19995,0.09466,0.18345,0.27117,0.10266,0.02788,1.90706,1.7736,6.06682,1.71761,0,0.001538,0.001538,0.001538
9,5574.73,1.46617,1.78505,1.65316,1.35605,0,0.41614,0.3906,0.35151,0.1932,0.3352,0.23886,0.18067,0.04651,1.86991,1.80905,2.54772,1.72872,0,0.001472,0.001472,0.001472
10,6091.01,1.4939,1.77654,1.64191,1.38329,0,0.3915,0.38962,0.30149,0.15908,0.28378,0.2653,0.15268,0.04606,1.84671,1.79045,2.57935,1.71328,0,0.001406,0.001406,0.001406
11,6562.04,1.43136,1.70555,1.56526,1.33703,0,0.33208,0.41801,0.30033,0.16049,0.22747,0.28585,0.14509,0.03889,1.84568,1.89334,2.926,1.67068,0,0.00134,0.00134,0.00134
12,7043.79,1.39671,1.69945,1.53518,1.3066,0,0.37833,0.40333,0.31554,0.17546,0.30573,0.29662,0.19072,0.05928,1.84844,1.77759,2.55988,1.61845,0,0.001274,0.001274,0.001274
13,7513.69,1.38172,1.73034,1.49466,1.30655,0,0.36732,0.45521,0.35641,0.19893,0.27204,0.31278,0.19093,0.05654,1.74355,1.75606,2.84101,1.61554,0,0.001208,0.001208,0.001208
14,7984.09,1.35162,1.73281,1.49529,1.2697,0,0.23023,0.3966,0.22438,0.11296,0.1677,0.27998,0.12832,0.04027,1.87213,1.8282,4.12911,1.67246,0,0.001142,0.001142,0.001142
15,8431.33,1.39741,1.70773,1.47691,1.31678,0,0.28236,0.41899,0.29143,0.16089,0.20951,0.2839,0.15899,0.0488,1.82693,1.90128,3.49486,1.63482,0,0.001076,0.001076,0.001076
16,8788.85,1.29797,1.64105,1.36878,1.25645,0,0.25728,0.45374,0.25542,0.1389,0.17241,0.28781,0.11679,0.03541,1.74388,2.18219,3.27574,1.52015,0,0.00101,0.00101,0.00101
17,9146.09,1.24943,1.6442,1.37843,1.23459,0,0.27812,0.48881,0.29682,0.16903,0.19303,0.33382,0.14959,0.04606,1.69135,2.14591,2.84127,1.51627,0,0.000944,0.000944,0.000944
18,9505.52,1.25615,1.63237,1.34456,1.24387,0,0.37409,0.46892,0.36949,0.21454,0.29052,0.30103,0.19786,0.06268,1.71253,1.82086,2.69008,1.55118,0,0.000878,0.000878,0.000878
19,9859.31,1.25818,1.62193,1.39156,1.25037,0,0.27308,0.49584,0.3034,0.17625,0.18002,0.28585,0.12063,0.03353,1.66889,1.8431,2.84376,1.51008,0,0.000812,0.000812,0.000812
20,10205.5,1.24579,1.61431,1.36037,1.24261,0,0.37837,0.47699,0.36574,0.21717,0.28674,0.29515,0.17596,0.05056,1.59871,1.78518,2.61098,1.43288,0,0.000746,0.000746,0.000746
21,10539.8,1.2494,1.2346,1.38511,1.31954,0,0.42243,0.4513,0.37116,0.22616,0.3144,0.32844,0.20688,0.06539,1.54167,1.70388,2.15617,1.38115,0,0.00068,0.00068,0.00068
22,10871.6,1.1759,1.2095,1.31963,1.28042,0,0.33969,0.54479,0.37663,0.2361,0.26665,0.34119,0.20307,0.06542,1.52311,1.80839,2.73037,1.39134,0,0.000614,0.000614,0.000614
23,11205,1.19487,1.18301,1.30184,1.27467,0,0.45403,0.50171,0.42327,0.25922,0.33545,0.35977,0.23435,0.07423,1.56296,1.78295,2.15253,1.37955,0,0.000548,0.000548,0.000548
24,11542.2,1.15587,1.19613,1.26685,1.2712,0,0.34171,0.53157,0.34405,0.19855,0.21492,0.28488,0.13045,0.03578,1.58137,1.90423,2.42162,1.41971,0,0.000482,0.000482,0.000482
25,11883.1,1.10599,1.1705,1.24865,1.23967,0,0.4182,0.50122,0.39334,0.25343,0.30091,0.33872,0.20664,0.06538,1.45258,1.83874,2.45012,1.32581,0,0.000416,0.000416,0.000416
26,12220,1.08992,1.17694,1.2234,1.23852,0,0.50614,0.50661,0.4486,0.28761,0.36925,0.36515,0.24698,0.07712,1.48279,1.74529,1.9975,1.35244,0,0.00035,0.00035,0.00035
27,12550.9,1.08276,1.1566,1.19527,1.23733,0,0.42083,0.52374,0.41986,0.27002,0.29742,0.36515,0.22627,0.07268,1.4763,1.85719,2.45826,1.34036,0,0.000284,0.000284,0.000284
